# npoint
   45
  i       date  dt    j        vy         ax        ay         ox        oy      oSST       px        py     pSST     smoothX    smoothY   smoothSST   Psmooth11   Psmooth12   Psmooth21   Psmooth22
  32 2001/06/20   2   182      3.467      16.678       2251      210.38      34.29      17.08     210.075     37.519     17.058      211.267      37.394      16.896      2.0879    -0.32311    -0.32311     0.23482 
  33 2001/06/22   2   184      3.508      74.783       2258       213.5      37.89      18.09     211.299     37.635     18.033      212.338      37.784      17.865      2.1817    -0.13512    -0.13512     0.20965 
  34 2001/06/24   2   186      3.624      98.416       2321      212.25      35.69      16.74     211.826     38.684     16.887      213.358      38.824       16.68      2.2606   -0.078668   -0.078668     0.20262 
  35 2001/06/26   2   188      3.751      156.02       2405      214.99      37.96      15.07     213.123     40.079     15.174      214.583      39.783      15.598      2.3121   -0.045899   -0.045899     0.17716 
  36 2001/06/28   2   190      3.889      150.72       2299      212.73      35.21      17.58     212.927      38.32      17.24       215.46      38.201      17.157      2.1724    -0.10049    -0.10049     0.20165 
  37 2001/06/30   2   192       4.04      353.13       2304      224.72      27.37      16.57     217.234     38.395     17.103      217.097      38.244      17.206      2.1535    -0.10458    -0.10458     0.21149 
  38 2001/07/02   2   194      4.205      320.08       2242      213.33      34.68      18.26     216.438      37.37     18.057      217.167      37.396      18.068      2.1498     0.12759     0.12759     0.22863 
  39 2001/07/04   2   196      4.385      444.61       2270      224.06      21.03      17.41     219.108     37.839     17.841      217.854      37.269      18.269      2.1724    0.085071    0.085071     0.22874 
  40 2001/07/06   2   198      4.582      432.73       2098      215.53      27.88      20.84     218.525      34.96     20.276      217.408      34.852      20.413      2.0468     0.15682     0.15682     0.26516 
  41 2001/07/08   2   200      4.796       439.5       2094      218.13      28.11      20.23     218.657     34.904     20.297      217.129       34.75      20.528      2.0761   -0.078727   -0.078727     0.34426 
  42 2001/07/10   2   202      5.029      359.02       2044      213.22      34.97      21.27     216.949     34.069     21.016      216.558      34.069      21.031      2.1039    -0.17014    -0.17014     0.42153 
  43 2001/07/12   2   204      5.281      350.06       2086       211.8      29.07      20.84     216.827     34.767     21.574       216.64      33.917       21.81      2.1447    -0.25251    -0.25251      1.0551 
  44 2001/07/22  10   214          0      352.73       1764     216.337     29.404      22.42     216.473     29.404     22.008      216.337      29.404      22.043           0           0           0           0 
