DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
"117495",117495,,Mk10,17:00:00 09-Apr-2012,GPE,-74.50000000,27.80607986,1.0,19.0,LightLoc
"117495",117495,,Mk10,18:00:00 11-Apr-2012,GPE,-27.00000000,26.34926987,1.0,18.9,LightLoc
"117495",117495,,Mk10,18:00:00 26-Apr-2012,,,,2.0,15.9,LightLoc
"117495",117495,,Mk10,20:00:00 10-May-2012,GPE,-34.50000000,27.17937088,1.0,15.8,LightLoc
"117495",117495,,Mk10,16:00:00 12-May-2012,,,,1.0,14.2,LightLoc
"117495",117495,,Mk10,19:00:00 14-May-2012,GPE,-51.00000000,34.81864929,1.0,16.9,LightLoc
"117495",117495,,Mk10,16:00:00 16-May-2012,GPE,-35.50000000,27.09568977,1.0,17.4,LightLoc
"117495",117495,,Mk10,00:00:00 24-May-2012,GPE,-38.00000000,26.03141022,1.0,16.5,LightLoc
"117495",117495,,Mk10,02:00:00 28-Jun-2012,A,-33.45999908,27.41600037,1.0,19.4,LightLoc
