DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"117495",117495,Mk10,DS,3,0,0,119,66,06:35:57 29-Jun-2012,A,A,-33.05099869,28.16699982,,,,,401677723,,
"117495",117495,Mk10,DS,1,0,0,,,08:18:28 29-Jun-2012,A,B,-33.05899811,28.19300079,,,,,401677718,,
"117495",117495,Mk10,DS,1,0,0,,,11:22:35 29-Jun-2012,P,B,-33.05099869,28.17799950,,,,,401677724,,
"117495",117495,Mk10,DS,1,0,0,,,12:49:41 29-Jun-2012,N,B,-33.05699921,28.21199989,,,,,401677731,,
"117495",117495,Mk10,DS,1,0,0,,,13:03:52 29-Jun-2012,P,B,-33.05599976,28.21400070,,,,,401677736,,
"117495",117495,Mk10,DS,1,0,0,,,14:26:50 29-Jun-2012,N,B,-33.06000137,28.24300003,,,,,401677731,,
"117495",117495,Mk10,DS,4,0,2,163,65,14:47:47 29-Jun-2012,K,2,-33.02600098,28.26000023,,,,,401677725,,
"117495",117495,Mk10,DS,1,0,1,,,16:32:12 29-Jun-2012,K,B,-33.05699921,28.28499985,,,,,401677740,,
"117495",117495,Mk10,DS,1,0,1,,,19:09:46 29-Jun-2012,M,B,-33.04999924,28.28300095,,,,,401677749,,
"117495",117495,Mk10,DS,4,0,1,95,67,20:38:48 29-Jun-2012,A,2,-33.03499985,28.20499992,,,,,401677724,,
"117495",117495,Mk10,DS,2,0,1,540,540,22:41:37 29-Jun-2012,P,B,-33.03699875,28.20199966,,,,,401677728,,
"117495",117495,Mk10,DS,2,0,1,63,63,00:13:18 30-Jun-2012,N,B,-33.07099915,28.15999985,,,,,401677727,,
"117495",117495,Mk10,DS,1,0,1,,,00:28:01 30-Jun-2012,K,B,-33.07300186,28.15800095,,,,,401677727,,
"117495",117495,Mk10,DS,2,0,1,61,61,00:28:01 30-Jun-2012,P,B,-33.07199860,28.15699959,,,,,401677724,,
"117495",117495,Mk10,DS,1,0,0,,,01:47:33 30-Jun-2012,N,B,-33.08000183,28.14399910,,,,,401677726,,
"117495",117495,Mk10,DS,3,0,0,236,121,02:05:31 30-Jun-2012,K,A,-33.08700180,28.13199997,,,,,401677725,,
"117495",117495,Mk10,DS,1,0,0,,,04:22:39 30-Jun-2012,L,B,-33.09999847,28.10600090,,,,,401677725,,
"117495",117495,Mk10,DS,2,0,1,235,235,04:47:22 30-Jun-2012,M,B,-33.10200119,28.10799980,,,,,401677727,,
"117495",117495,Mk10,DS,1,0,1,,,05:59:25 30-Jun-2012,L,B,-33.10499954,28.09399986,,,,,401677725,,
"117495",117495,Mk10,DS,4,0,3,178,65,06:12:31 30-Jun-2012,A,3,-33.11199951,28.11199951,,,,,401677724,,
"117495",117495,Mk10,DS,2,0,0,74,74,07:55:17 30-Jun-2012,A,B,-33.11899948,28.09900093,,,,,401677713,,
"117495",117495,Mk10,DS,1,0,0,,,11:09:09 30-Jun-2012,P,B,-33.11700058,28.10099983,,,,,401677739,,
"117495",117495,Mk10,DS,1,0,1,,,12:33:42 30-Jun-2012,N,B,-33.11700058,28.10199928,,,,,401677737,,
"117495",117495,Mk10,DS,2,0,1,385,385,12:52:02 30-Jun-2012,P,B,-33.10100174,28.15200043,,,,,401677731,,
"117495",117495,Mk10,DS,1,0,1,,,14:26:38 30-Jun-2012,K,B,-33.07699966,28.12899971,,,,,401677742,,
"117495",117495,Mk10,DS,1,0,0,,,16:04:19 30-Jun-2012,K,B,-33.07199860,28.11899948,,,,,401677742,,
"117495",117495,Mk10,DS,2,0,1,131,131,17:06:51 30-Jun-2012,M,B,-33.03699875,28.09499931,,,,,401677735,,
"117495",117495,Mk10,DS,1,0,0,,,18:33:11 30-Jun-2012,L,B,-33.01300049,28.08499908,,,,,401677718,,
