DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
"117495",117495,Mk10,06:12:32 30-Jun-2012,,A,3,-33.11199951,28.11199951,CRC 264.62086,12:00:00 17-Jun-2012,PDT,144,16,129,162,192,97,75,11,193,107,43,193,138,235,126,52,100,32,146,4,166,160,222,111,140,83,154,255,200,135,8,
"117495",117495,Mk10,06:17:12 30-Jun-2012,,A,3,-33.11199951,28.11199951,CRC 44686.28501,18:00:00 16-Jun-2012,PDT,154,232,225,161,32,97,10,235,65,122,139,78,52,64,32,140,86,223,32,104,119,143,128,,,,,,,,,
"117495",117495,Mk10,06:21:27 30-Jun-2012,,A,3,-33.11199951,28.11199951,CRC 58526.8863,06:00:00 16-Jun-2012,PDT,158,73,225,160,96,65,107,11,97,139,43,62,52,24,32,142,6,253,12,32,104,127,7,128,0,0,8,,,,,
"117495",117495,Mk10,12:33:42 30-Jun-2012,,N,B,-33.11700058,28.10199928,CRC 3092.13315,00:00:00 27-Apr-2012,TAD,16,193,65,54,0,54,3,113,146,144,34,188,36,24,66,34,40,74,18,40,82,18,47,137,179,62,121,232,171,42,5,
"117495",117495,Mk10,12:55:15 30-Jun-2012,,P,B,-33.10100174,28.15200043,CRC 35711.34960,05:35:00 02-Jan-1601,LightLoc,136,183,241,190,222,239,113,1,117,112,144,67,206,132,116,233,197,198,24,132,216,202,198,188,172,162,157,148,145,251,35,
"117495",117495,Mk10,14:26:39 30-Jun-2012,,K,B,-33.07699966,28.12899971,CRC 17267.29571,,TAD,20,55,48,23,34,6,203,227,224,171,203,224,203,203,224,235,203,222,35,0,38,19,109,231,32,120,120,,,,,
"117495",117495,Mk10,17:07:57 30-Jun-2012,,M,B,-33.03699875,28.09499931,CRC 31433.47672,18:00:00 21-Mar-2012,TAT,39,172,144,235,32,121,12,250,200,32,86,70,96,102,70,111,14,192,17,120,16,68,188,36,16,43,47,48,51,43,40,
"117495",117495,Mk10,18:36:36 30-Jun-2012,,A,B,-33.01599884,28.09399986,CRC 24277.36052,04:57:00 07-May-2012,LightLoc,133,237,81,76,14,201,49,141,69,89,105,129,133,124,124,131,118,69,103,185,224,225,13,83,74,64,55,52,52,253,61,
"117495",117495,Mk10,20:14:26 30-Jun-2012,,L,B,-33.06800079,28.09600067,Too short,,LightLoc,134,105,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117495",117495,Mk10,03:16:59 01-Jul-2012,,K,B,-33.01200104,28.14800072,CRC 7366.40550,00:00:00 03-May-2012,TAD,17,204,97,70,0,87,57,250,144,35,58,2,36,16,90,26,40,98,26,55,138,55,72,52,23,71,239,150,18,60,237,
"117495",117495,Mk10,03:18:27 01-Jul-2012,,K,B,-33.01200104,28.14800072,CRC 20867.45551,18:00:00 02-May-2012,PDT,149,24,49,69,33,0,139,43,64,170,203,32,202,202,225,10,74,161,42,10,129,72,90,114,167,110,3,52,130,249,232,
"117495",117495,Mk10,04:27:40 01-Jul-2012,,M,B,-33.00799942,28.16099930,Too short,,,151,127,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117495",117495,Mk10,07:29:49 01-Jul-2012,,L,B,-32.98500061,28.17600060,CRC 11819.32096,18:00:00 13-Apr-2012,PDT,146,226,177,27,32,96,138,203,160,169,235,128,201,106,62,35,128,4,106,142,187,88,238,202,78,223,220,,,,,
"117495",117495,Mk10,07:29:49 01-Jul-2012,,A,B,-32.98600006,28.17200089,CRC 11819.41323,18:00:00 13-Apr-2012,PDT,146,226,177,27,32,96,138,203,160,169,235,128,201,106,62,35,128,101,143,212,169,54,61,2,21,4,74,,,,,
"117495",117495,Mk10,11:00:45 01-Jul-2012,,P,B,-32.98400116,28.18400002,CRC 56028.25213,18:00:00 23-Mar-2012,PDT,157,173,192,239,32,66,172,140,160,204,140,190,30,0,38,14,249,45,32,121,127,27,0,,,,,,,,,
