DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"Gansbaai GW2",117494,Mk10,15:40:00 04-Jul-2012,GPE,,-35.50000000,20.91643906,,194460,51099,0,55560,0,1.619706,5.668972,
"Gansbaai GW2",117494,Mk10,06:00:00 05-Jul-2012,GPE,,-35.00000000,20.60008049,,138900,18205,0,55560,180,1.104750,2.761875,
"Gansbaai GW2",117494,Mk10,15:39:00 05-Jul-2012,GPE,,-34.00000000,21.21072006,,194460,29846,0,55560,180,1.579019,5.526567,
"Gansbaai GW2",117494,Mk10,06:09:00 06-Jul-2012,GPE,,-35.50000000,20.71655083,,166680,18093,0,,,1.847395,5.542184,
"Gansbaai GW2",117494,Mk10,16:04:00 06-Jul-2012,GPE,,-35.00000000,20.99774933,,166680,28280,0,,,1.694495,5.083485,
"Gansbaai GW2",117494,Mk10,05:52:00 08-Jul-2012,GPE,,-38.00000000,21.01358032,,361140,176885,0,166680,180,4.553109,29.595209,
"Gansbaai GW2",117494,Mk10,15:55:00 09-Jul-2012,GPE,,-34.00000000,21.85115051,,277800,65207,0,111120,180,3.027201,15.136000,
"Gansbaai GW2",117494,Mk10,16:19:00 10-Jul-2012,GPE,,-33.50000000,18.42130089,,333360,91471,0,111120,180,4.281747,25.690479,
"Gansbaai GW2",117494,Mk10,05:53:00 11-Jul-2012,GPE,,-36.00000000,20.83109093,,250020,17980,0,55560,180,3.288316,14.797420,
"Gansbaai GW2",117494,Mk10,16:11:00 11-Jul-2012,GPE,,-35.50000000,21.22043991,,250020,18093,0,55560,180,3.160775,14.223490,
"Gansbaai GW2",117494,Mk10,06:02:00 12-Jul-2012,GPE,,-36.00000000,21.27396965,,305580,31863,0,55560,180,3.836171,21.098940,
"Gansbaai GW2",117494,Mk10,16:07:00 12-Jul-2012,GPE,,-35.50000000,21.74275017,,305580,60391,0,55560,180,3.726383,20.495110,
"Gansbaai GW2",117494,Mk10,06:02:00 16-Jul-2012,GPE,,-31.00000000,20.50840950,,222240,19050,0,,,2.383384,9.533538,
"Gansbaai GW2",117494,Mk10,16:18:00 16-Jul-2012,GPE,,-35.00000000,19.45866966,,277800,125836,0,,,2.888191,14.440960,
"Gansbaai GW2",117494,Mk10,05:28:00 17-Jul-2012,GPE,,-35.50000000,19.62721062,,166680,25355,0,,,1.617239,4.851718,
"Gansbaai GW2",117494,Mk10,16:21:00 17-Jul-2012,GPE,,-35.50000000,19.64348030,,222240,52567,0,111120,180,2.237803,8.951214,
