DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
"Gansbaai GW2",117494,0.500000,Mk10,18:00:00 15-Apr-2012,GPE,-36.50000000,20.60540962,0.0,14.9,Archive
"Gansbaai GW2",117494,0.500000,Mk10,19:00:00 15-Apr-2012,GPE,-36.50000000,20.60540962,0.0,14.8,Archive
"Gansbaai GW2",117494,0.500000,Mk10,20:00:00 15-Apr-2012,GPE,-36.50000000,20.60540962,0.0,14.9,Archive
"Gansbaai GW2",117494,0.500000,Mk10,21:00:00 15-Apr-2012,GPE,-36.50000000,20.60540962,0.0,15.5,Archive
"Gansbaai GW2",117494,0.500000,Mk10,22:00:00 15-Apr-2012,GPE,-36.50000000,20.60540962,1.0,15.4,Archive
"Gansbaai GW2",117494,0.500000,Mk10,23:00:00 15-Apr-2012,GPE,-36.50000000,20.60540962,0.0,16.5,Archive
"Gansbaai GW2",117494,0.500000,Mk10,00:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,0.0,17.8,Archive
"Gansbaai GW2",117494,0.500000,Mk10,01:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,0.0,18.0,Archive
"Gansbaai GW2",117494,0.500000,Mk10,02:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,0.0,17.8,Archive
"Gansbaai GW2",117494,0.500000,Mk10,03:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,0.0,16.9,Archive
"Gansbaai GW2",117494,0.500000,Mk10,09:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,3.5,18.8,Archive
"Gansbaai GW2",117494,0.500000,Mk10,10:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,4.0,18.8,Archive
"Gansbaai GW2",117494,0.500000,Mk10,12:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,3.0,18.9,Archive
"Gansbaai GW2",117494,0.500000,Mk10,13:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,4.0,18.9,Archive
"Gansbaai GW2",117494,0.500000,Mk10,15:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,5.0,18.9,Archive
"Gansbaai GW2",117494,0.500000,Mk10,16:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,5.0,18.9,Archive
"Gansbaai GW2",117494,0.500000,Mk10,17:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,0.0,19.0,Archive
"Gansbaai GW2",117494,0.500000,Mk10,18:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,0.0,19.0,Archive
"Gansbaai GW2",117494,0.500000,Mk10,19:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,0.0,19.0,Archive
"Gansbaai GW2",117494,0.500000,Mk10,20:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,0.0,19.0,Archive
"Gansbaai GW2",117494,0.500000,Mk10,22:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,0.0,18.8,Archive
"Gansbaai GW2",117494,0.500000,Mk10,23:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,0.0,18.6,Archive
"Gansbaai GW2",117494,0.500000,Mk10,00:00:00 17-Apr-2012,GPE,-36.50000000,20.60540962,0.0,18.6,Archive
"Gansbaai GW2",117494,0.500000,Mk10,01:00:00 17-Apr-2012,GPE,-36.50000000,20.60540962,0.0,18.6,Archive
"Gansbaai GW2",117494,0.500000,Mk10,02:00:00 17-Apr-2012,GPE,-36.50000000,20.60540962,0.0,18.7,Archive
"Gansbaai GW2",117494,0.500000,Mk10,03:00:00 17-Apr-2012,GPE,-36.50000000,20.60540962,3.5,18.7,Archive
"Gansbaai GW2",117494,0.500000,Mk10,04:00:00 17-Apr-2012,GPE,-36.50000000,20.60540962,1.5,18.6,Archive
"Gansbaai GW2",117494,0.500000,Mk10,05:00:00 17-Apr-2012,GPE,-36.50000000,20.60540962,4.5,18.7,Archive
"Gansbaai GW2",117494,0.500000,Mk10,06:00:00 17-Apr-2012,GPE,-38.00000000,20.01073074,0.0,18.6,Archive
"Gansbaai GW2",117494,0.500000,Mk10,07:00:00 17-Apr-2012,GPE,-38.00000000,20.01073074,0.0,18.6,Archive
"Gansbaai GW2",117494,0.500000,Mk10,08:00:00 17-Apr-2012,GPE,-38.00000000,20.01073074,0.0,18.6,Archive
"Gansbaai GW2",117494,0.500000,Mk10,09:00:00 17-Apr-2012,GPE,-38.00000000,20.01073074,3.5,18.5,Archive
"Gansbaai GW2",117494,0.500000,Mk10,10:00:00 17-Apr-2012,GPE,-38.00000000,20.01073074,0.0,18.8,Archive
"Gansbaai GW2",117494,0.500000,Mk10,11:00:00 17-Apr-2012,GPE,-38.00000000,20.01073074,1.5,18.8,Archive
"Gansbaai GW2",117494,0.500000,Mk10,12:00:00 17-Apr-2012,GPE,-38.00000000,20.01073074,0.0,18.8,Archive
"Gansbaai GW2",117494,0.500000,Mk10,13:00:00 17-Apr-2012,GPE,-38.00000000,20.01073074,3.5,18.7,Archive
"Gansbaai GW2",117494,0.500000,Mk10,15:00:00 17-Apr-2012,GPE,-38.00000000,20.01073074,0.5,18.8,Archive
"Gansbaai GW2",117494,0.500000,Mk10,16:00:00 17-Apr-2012,GPE,-38.00000000,20.01073074,3.0,18.7,Archive
"Gansbaai GW2",117494,0.500000,Mk10,17:00:00 17-Apr-2012,GPE,-38.00000000,20.01073074,0.0,18.7,Archive
