year,month,day,hour,min,sec,sst
2003,1,1,0,0,0,19.28032796
2003,1,2,0,0,0,22.6582852
2003,1,3,0,0,0,21.51347858
2003,1,4,0,0,0,22.11863285
2003,1,5,0,0,0,21.59565797
2003,1,6,0,0,0,19.97936507
2003,1,7,0,0,0,19.68110637
2003,1,8,0,0,0,19.56469428
2003,1,9,0,0,0,20.01035344
2003,1,10,0,0,0,19.69536065
2003,1,11,0,0,0,19.7060739
2003,1,12,0,0,0,19.60116365
2003,1,13,0,0,0,20.13140142
2003,1,14,0,0,0,19.71403759
2003,1,15,0,0,0,19.92440441
2003,1,16,0,0,0,20.19729921
2003,1,17,0,0,0,19.77329989
2003,1,18,0,0,0,20.41692538
2003,1,19,0,0,0,19.87831647
2003,1,20,0,0,0,19.90947532
2003,1,21,0,0,0,20.62137815
2003,1,22,0,0,0,20.81214798
2003,1,23,0,0,0,21.60280423
2003,1,24,0,0,0,21.32647501
2003,1,25,0,0,0,21.37053854
2003,1,26,0,0,0,20.48866519
2003,1,27,0,0,0,20.64170621
2003,1,28,0,0,0,20.45530362
2003,1,29,0,0,0,19.97458869
2003,1,30,0,0,0,20.03420909
2003,1,31,0,0,0,19.72481834
2003,2,1,0,0,0,19.86423958
2003,2,2,0,0,0,19.53900666
2003,2,3,0,0,0,20.01434849
2003,2,4,0,0,0,19.94789345
2003,2,5,0,0,0,19.0649746
2003,2,6,0,0,0,19.39635931
2003,2,7,0,0,0,19.12999965
2003,2,8,0,0,0,19.05466216
2003,2,9,0,0,0,18.93515644
2003,2,10,0,0,0,19.32367203
2003,2,11,0,0,0,19.0209954
2003,2,12,0,0,0,18.908822
2003,2,13,0,0,0,18.93734288
2003,2,14,0,0,0,19.22929383
2003,2,15,0,0,0,19.27421143
2003,2,16,0,0,0,19.41084531
2003,2,17,0,0,0,19.39348683
2003,2,18,0,0,0,18.69362199
2003,2,19,0,0,0,18.65278772
2003,2,20,0,0,0,18.7802031
2003,2,21,0,0,0,18.46237938
2003,2,22,0,0,0,18.83502209
2003,2,23,0,0,0,19.11529083
2003,2,24,0,0,0,19.1044179
2003,2,25,0,0,0,17.58453761
2003,2,26,0,0,0,17.07818172
2003,2,27,0,0,0,18.84302366
2003,2,28,0,0,0,19.08297802
2003,3,1,0,0,0,19.05649624
2003,3,2,0,0,0,19.43206167
2003,3,3,0,0,0,19.52404838
2003,3,4,0,0,0,18.98819151
2003,3,5,0,0,0,19.08751953
2003,3,6,0,0,0,19.29338879
2003,3,7,0,0,0,19.23634071
2003,3,8,0,0,0,19.03408164
2003,3,9,0,0,0,19.05203597
2003,3,10,0,0,0,18.87824647
2003,3,11,0,0,0,19.73788907
2003,3,12,0,0,0,19.28692751
2003,3,13,0,0,0,19.45873264
2003,3,14,0,0,0,19.10082995
2003,3,15,0,0,0,19.3171751
2003,3,16,0,0,0,19.22563588
2003,3,17,0,0,0,19.29146148
2003,3,18,0,0,0,19.35435893
2003,3,19,0,0,0,19.34111114
2003,3,20,0,0,0,19.69011347
2003,3,21,0,0,0,19.60897817
2003,3,22,0,0,0,18.79772649
2003,3,23,0,0,0,18.53917264
2003,3,24,0,0,0,18.96116498
2003,3,25,0,0,0,19.7584536
2003,3,26,0,0,0,19.61153061
2003,3,27,0,0,0,19.97838483
2003,3,28,0,0,0,20.68787387
2003,3,29,0,0,0,19.98205179
2003,3,30,0,0,0,19.16307417
2003,3,31,0,0,0,20.01243603
2003,4,1,0,0,0,19.86018512
2003,4,2,0,0,0,20.51461132
2003,4,3,0,0,0,20.31953368
2003,4,4,0,0,0,20.5627115
2003,4,5,0,0,0,20.63943681
2003,4,6,0,0,0,22.53763405
2003,4,7,0,0,0,22.60744527
2003,4,8,0,0,0,22.75518338
2003,4,9,0,0,0,22.14110217
2003,4,10,0,0,0,21.81508345
2003,4,11,0,0,0,21.91426105
2003,4,12,0,0,0,21.95687483
2003,4,13,0,0,0,20.66782456
2003,4,14,0,0,0,21.34588631
2003,4,15,0,0,0,20.70108174
2003,4,16,0,0,0,20.69237176
2003,4,17,0,0,0,19.97742017
2003,4,18,0,0,0,19.40350099
2003,4,19,0,0,0,19.47897058
2003,4,20,0,0,0,20.42973956
2003,4,21,0,0,0,20.10352661
2003,4,22,0,0,0,20.13734068
2003,4,23,0,0,0,20.49727133
2003,4,24,0,0,0,20.88657361
2003,4,25,0,0,0,20.93562936
2003,4,26,0,0,0,20.95587013
2003,4,27,0,0,0,22.32289334
2003,4,28,0,0,0,22.50069637
2003,4,29,0,0,0,22.55136862
2003,4,30,0,0,0,22.66049401
2003,5,1,0,0,0,22.42120215
2003,5,2,0,0,0,22.13098155
2003,5,3,0,0,0,21.71477151
2003,5,4,0,0,0,22.38330632
2003,5,5,0,0,0,21.58167481
2003,5,6,0,0,0,21.07083132
2003,5,7,0,0,0,21.25913875
2003,5,8,0,0,0,21.36964435
2003,5,9,0,0,0,21.66824094
2003,5,10,0,0,0,21.86039847
2003,5,11,0,0,0,22.7193232
2003,5,12,0,0,0,22.69470912
2003,5,13,0,0,0,22.81960812
