day	month	year	Psatlon     Psatlat	date	Psatsst Gpslon	Gpslat 	GpsSST
16	12	2002	-162.5833	13	37606	24.8	-162.5891563	23.183475	25.05
17	12	2002	-162.5866	17.5	37607	24.8	-162.5891563	23.183475	25.05
18	12	2002	-162.839	19	37608	25	-162.5891563	23.183475	25.05
19	12	2002	-162.9659	16	37609	24.8	-162.5891563	23.183475	25.05
21	12	2002	-162.8433	19.5	37611	25	-162.5891563	23.183475	25.05
23	12	2002	-162.4712	14	37613	24.8	-162.5891563	23.183475	25.05
24	12	2002	-163.0954	17.5	37614	24.8	-162.5891563	23.183475	25.05
25	12	2002	-162.8464	15	37615	25	-162.5891563	23.183475	25.05
26	12	2002	-163.3475	16.5	37616	25	-162.5891563	23.183475	25.05
30	12	2002	-163.4892	16	37620	25	-163.462939	22.20759756	24.84285714
31	12	2002	-163.6136	15	37621	25	-163.541997	22.16646061	24.88
1	1	2003	-164.1196	20.5	37622	25	-163.595975	22.1281175	25.34285714
4	1	2003	-163.1466	14	37625	25.3	-163.3362194	21.83484444	25.14
6	1	2003	-163.1725	17.5	37627	24.8	-163.0590447	21.98464737	24.7
8	1	2003	-163.3309	13.5	37629	24.8	-163.0696971	22.30922	24.73888889
9	1	2003	-163.3735	12.5	37630	24.8	-163.0539897	22.47506897	24.73333333
10	1	2003	-162.7731	12	37631	24.8	-162.9901778	22.65370556	24.7
11	1	2003	-162.6475	13	37632	24.8	-162.8737	22.81369394	24.51428571
12	1	2003	-162.7993	16.5	37633	24.8	-162.8256316	22.99276316	24.37
13	1	2003	-162.9862	15	37634	24.8	-162.7401488	23.09143659	24.47777778
14	1	2003	-162.8607	14.5	37635	24.8	-162.6453757	23.13553243	24.375
15	1	2003	-162.1455	16.5	37636	24.8	-162.5465765	23.06064412	24.21
16	1	2003	-163.2236	15.5	37637	24.8	-162.5433929	22.96532143	24
17	1	2003	-162.8481	20.5	37638	24.8	-162.5927031	22.97990938	23.95
19	1	2003	-162.8125	15.5	37640	24.8	-162.40765	23.03215714	23.675
22	1	2003	-162.404	14.5	37643	24.8	-162.4869636	23.22755758	23.5
24	1	2003	-162.8403	14	37645	24.8	-162.3957333	23.32020417	23.53333333
25	1	2003	-162.3487	77	37646	23.6	-162.2985938	23.40833438	23.35
26	1	2003	-162.0457	78	37647	23.6	-162.2305909	23.55001515	23.475
27	1	2003	-162.1222	15	37648	23.6	-162.0237941	23.66685882	23.4625
28	1	2003	-161.7009	14.5	37649	23.6	-161.71438	23.7625	        23.5625
29	1	2003	-161.3254	15	37650	23.6	-161.341125	23.87250833	23.4875
30	1	2003	-161.0325	13.5	37651	23.6	-161.0685296	23.98364074	23.38333333
1	2	2003	-160.332	12	37653	23.6	-160.4667125	24.16854375	23.3
2	2	2003	-160.3958	14	37654	23.6	-160.2766357	24.1822	        23.35
4	2	2003	-159.8694	11	37656	23.6	-160.0033333	24.08267917	23.5
6	2	2003	-160.5616	16.5	37658	23.6	NA	       	23.75075	23.5
10	2	2003	-159.5352	71	37662	23.6	-159.2642895	22.62393158	23.2
11	2	2003	-159.1577	22.5	37663	23.6	-159.1103417	22.00532083	23.15
12	2	2003	-159.7834	15	37664	23.4	-159.1248	21.66796	23.15
13	2	2003	-159.6623	72	37665	23.4	-159.1248	21.66796	23.15
16	2	2003	-160.4593	14.5	37668	23.2	-159.90517	21.17479667	22.975
19	2	2003	-160.2737	5	37671	23.2	-160.014519	21.49585238	23.05
21	2	2003	-160.3018	3.5	37673	23.2	-160.011525	21.5190625	24.1
22	2	2003	-159.9569	70	37674	NA	-159.9432269	21.45745	24.05
28	2	2003	-159.1901	66.5	37680	24.2	-159.3049237	20.29614474	24.25
1	3	2003	-160.2372	64.5	37681	24.2	-159.5211156	19.98195313	24.40714286
3	3	2003	-160.2649	-13	37683	24.2	-159.9101759	20.02431379	24.72
5	3	2003	-161.6281	-13.5	37685	24.8	-160.6498364	19.99779091	24.75
6	3	2003	-161.5024	62.5	37686	24.8	-161.1005829	20.26475714	24.725
7	3	2003	-161.2466	-17.5	37687	24.8	-161.1261	20.58613684	24.91428571
8	3	2003	-161.121	63	37688	24.8	-160.9533033	20.72714333	24.71
9	3	2003	-161.1827	63	37689	24.8	-160.7400457	20.71689783	24.75
12	3	2003	-160.5012	62	37692	24.8	-160.3533611	20.35791667	25.7875
13	3	2003	-161.011	60.5	37693	24.8	-160.3712722	20.20210833	25.85416667
18	3	2003	-161.1694	58	37698	25.4	-160.8275409	19.62814545	25.4625
19	3	2003	-161.7423	49.5	37699	25.4	-161.0740853	19.62758235	25.38333333
21	3	2003	-161.8384	-55.5	37701	25.4	-161.4993417	20.00602778	25.28571429
22	3	2003	-161.9641	48.5	37702	25.4	-161.5309605	20.30669302	25.21428571
24	3	2003	-161.4398	-60.5	37704	25.4	-161.1057816	20.63395	25.15
25	3	2003	-161.0641	45	37705	25.4	-160.8828556	20.57983333	25.31
28	3	2003	-161.1156	-78.5	37708	25.4	-160.5200667	19.67662857	25.52857143
30	3	2003	-160.9414	41	37710	25.4	-161.0131769	19.25213333	25.26
31	3	2003	-161.3915	42.5	37711	25.4	-161.306825	19.15624286	25.25
2	4	2003	-162.0406	38	37713	25.4	-161.68485	19.10198333	25.68125
4	4	2003	-162.5626	36.5	37715	25.8	-161.9395161	19.14570645	25.925
5	4	2003	-162.5824	36.5	37716	25.8	-162.0182026	19.22418158	25.89
7	4	2003	-162.7778	35	37718	25.8	-162.0874841	19.489225	25.99
8	4	2003	-162.2925	33.5	37719	26	-162.0964	19.74071316	26.1625
9	4	2003	-162.3594	29.5	37720	26	-162.0432882	20.02487059	26.11
10	4	2003	-162.1776	33.5	37721	26	-161.93525	20.20206429	26.175
11	4	2003	-161.4268	36.5	37722	26	-161.7910531	20.21194688	26.0625
12	4	2003	-161.8078	30.5	37723	26	-161.6056675	20.4034725	25.90625
13	4	2003	-161.0571	32	37724	26	-161.4598375	NA	       	25.83333333
14	4	2003	-161.2454	31	37725	26	-161.3189973	20.59751892	25.6
15	4	2003	-160.8072	34	37726	26	-161.0430382	20.60860882	25.54444444
20	4	2003	-158.9682	30	37731	25.6	-159.2773275	20.68879	25.31428571
21	4	2003	-159.1455	32	37732	25.4	-159.2540528	20.99858056	25.23
22	4	2003	-159.821	34	37733	25.4	-159.3357704	21.30075926	25.16111111
24	4	2003	-160.2913	31.5	37735	25.4	-159.7082581	21.62975116	24.9625
25	4	2003	-160.3793	33.5	37736	25.4	-160.0001558	21.627	        24.93571429
26	4	2003	-161.2538	30	37737	25.4	-160.3836	21.50142581	24.91428571
27	4	2003	-161.5836	29	37738	25.4	-160.7553324	21.35428919	24.925
28	4	2003	-161.458	29.5	37739	25.4	-161.0454344	21.320425	25.11875
29	4	2003	-161.4944	31	37740	25.4	-161.1878519	21.44057037	25.85833333
30	4	2003	-161.4036	30	37741	25.4	-161.1182098	21.61960488	25.36666667
1	5	2003	-161.0606	31.5	37742	25.4	-160.8401289	21.81708444	25.21111111
3	5	2003	-160.3678	26.5	37744	25.4	-160.2491839	22.06654194	25.275
4	5	2003	-160.1429	29.5	37745	25.4	-160.0885811	22.08692432	25.26428571
5	5	2003	-160.4158	29.5	37746	25.4	-159.9521258	22.00123548	25.31666667
6	5	2003	-160.3113	32.5	37747	25.4	-160.0074533	21.87093	25.3
7	5	2003	-160.4709	29.5	37748	25.6	-160.0670433	21.82769	25.6875
8	5	2003	-160.5953	27	37749	25.6	-160.0065129	21.85727742	25.94285714
9	5	2003	-160.4837	27.5	37750	25.6	-160.0150407	21.68428148	25.66666667
11	5	2003	-160.6283	29	37752	25.8	-160.22446	21.233052	25.45
13	5	2003	-159.8904	27	37754	25.8	-159.797331	20.6944	        25.53
14	5	2003	-158.7644	26	37755	25.8	-159.3259974	20.71550513	25.5
16	5	2003	-159.5053	30	37757	25.8	-159.0908333	21.58898788	25.54166667
21	5	2003	-159.85	        21.95	37762	25.8	-159.8653	21.95263889	25.56
