DeployID,Ptt,DepthSensor,Source,Instr,Date,Hours,LocationQuality,Latitude,Longitude,PerCentMLTime,MLTave,MLTmin,MLTmax,MLDExtreme,SSTAve,SSTmin,SSTmax,TempMin,DepthMin,DepthMax
"Cow shark 1",117484,0.500000,DAP,Mk10,13:00:00 28-May-2013,5,GPE,-36.00000000,19.02914047,100.000000,16.154320,15.925001,16.275002,32.250000,,,,15.93,3.75,32.25
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 28-May-2013,6,GPE,-36.00000000,19.02914047,100.000000,16.136390,16.025002,16.325001,14.750000,,,,16.03,5.75,14.75
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 29-May-2013,6,GPE,-36.00000000,19.02914047,100.000000,16.055973,15.775001,16.225000,15.750000,,,,15.78,4.25,15.75
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 29-May-2013,6,GPE,-35.00000000,18.43470001,100.000000,16.129167,15.825001,16.475000,14.750000,,,,15.83,6.25,14.75
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 29-May-2013,6,GPE,-35.00000000,18.43470001,100.000000,16.084584,15.975000,16.425001,13.750000,,,,15.98,3.75,13.75
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 29-May-2013,6,GPE,-35.00000000,18.43470001,100.000000,16.207917,15.975000,16.575001,14.750000,,,,15.98,2.75,14.75
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 30-May-2013,6,GPE,-35.00000000,18.43470001,100.000000,16.200417,15.875001,16.375000,14.250000,,,,15.88,1.75,14.25
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 30-May-2013,6,GPE,-33.50000000,18.42119026,62.000000,16.211385,15.825001,16.375000,13.250000,,,,15.33,7.75,13.25
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 30-May-2013,6,GPE,-33.50000000,18.42119026,44.000000,16.039752,15.825001,16.375000,10.250000,,,,13.98,1.25,33.75
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 30-May-2013,6,GPE,-33.50000000,18.42119026,,,,,,,,,13.08,32.25,43.25
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 31-May-2013,6,GPE,-33.50000000,18.42119026,,,,,,,,,13.08,37.75,45.75
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 31-May-2013,6,GPE,-33.50000000,18.42119026,28.000000,16.510295,16.125000,16.775002,38.250000,,,,13.93,32.75,46.25
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 31-May-2013,6,GPE,-33.50000000,18.42119026,,,,,,,,,13.63,32.75,41.75
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 31-May-2013,6,GPE,-33.50000000,18.42119026,,,,,,,,,13.53,24.25,40.25
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 01-Jun-2013,6,GPE,-33.50000000,18.42119026,,,,,,,,,13.73,17.75,38.75
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 01-Jun-2013,6,GPE,-35.50000000,19.13171959,,,,,,,,,13.58,37.25,41.75
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 01-Jun-2013,6,GPE,-35.50000000,19.13171959,5.000000,16.920001,16.575001,16.975000,30.750000,,,,13.73,21.25,42.25
