DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"Cow shark 1",117484,Mk10,06:11:00 30-Jun-2013,GPE,,-34.50000000,18.86046982,,222240,174793,0,,,1.972762,7.891047,
"Cow shark 1",117484,Mk10,15:59:00 30-Jun-2013,GPE,,-34.50000000,18.47839928,,222240,20324,0,,,1.516316,6.065264,
"Cow shark 1",117484,Mk10,05:53:00 01-Jul-2013,GPE,,-36.00000000,18.48527908,,222240,179206,0,,,2.462150,9.848600,
"Cow shark 1",117484,Mk10,16:05:00 01-Jul-2013,GPE,,-36.00000000,18.69833946,,194460,114962,0,55560,180,1.972208,6.902727,
"Cow shark 1",117484,Mk10,05:47:00 02-Jul-2013,GPE,,-35.50000000,18.38195038,,194460,127970,0,55560,180,1.946969,6.814393,
"Cow shark 1",117484,Mk10,16:03:00 02-Jul-2013,GPE,,-35.50000000,18.43734932,,194460,82992,0,55560,180,2.082488,7.288709,
"Cow shark 1",117484,Mk10,05:50:00 03-Jul-2013,GPE,,-35.50000000,18.54387093,,166680,44041,0,,,1.693198,5.079594,
"Cow shark 1",117484,Mk10,16:09:00 03-Jul-2013,GPE,,-35.50000000,18.60346985,,166680,20527,0,,,1.806115,5.418344,
"Cow shark 1",117484,Mk10,05:47:00 04-Jul-2013,GPE,,-34.50000000,18.15291977,,166680,18315,0,,,1.463301,4.389903,
"Cow shark 1",117484,Mk10,15:55:00 04-Jul-2013,GPE,,-34.00000000,18.34948921,,166680,55602,0,,,1.473541,4.420622,
"Cow shark 1",117484,Mk10,05:58:00 05-Jul-2013,GPE,,-34.00000000,18.62659073,,138900,18433,0,55560,180,1.237925,3.094814,
"Cow shark 1",117484,Mk10,16:05:00 05-Jul-2013,GPE,,-34.50000000,18.59970093,,166680,94188,0,,,1.713533,5.140598,
"Cow shark 1",117484,Mk10,05:44:00 06-Jul-2013,GPE,,-34.50000000,18.71729088,,194460,42053,0,55560,180,1.913468,6.697138,
"Cow shark 1",117484,Mk10,16:12:00 06-Jul-2013,GPE,,-34.00000000,19.09369087,,138900,82488,0,55560,180,1.335239,3.338098,
"Cow shark 1",117484,Mk10,05:54:00 07-Jul-2013,GPE,,-33.00000000,18.43833923,,166680,63082,0,,,1.130363,3.391088,
"Cow shark 1",117484,Mk10,16:20:00 07-Jul-2013,GPE,,-33.00000000,18.53236008,,166680,65223,0,,,1.438642,4.315925,
"Cow shark 1",117484,Mk10,05:58:00 08-Jul-2013,GPE,,-33.50000000,18.69634056,,194460,191962,0,55560,180,1.564017,5.474059,
"Cow shark 1",117484,Mk10,16:21:00 08-Jul-2013,GPE,,-35.50000000,17.92244911,,222240,260890,0,,,2.341352,9.365410,
"Cow shark 1",117484,Mk10,05:43:00 09-Jul-2013,GPE,,-36.00000000,18.18745995,,222240,67743,0,,,2.622646,10.490580,
"Cow shark 1",117484,Mk10,16:22:00 09-Jul-2013,GPE,,-35.50000000,18.59123039,,166680,130310,0,,,1.579425,4.738276,
"Cow shark 1",117484,Mk10,05:42:00 10-Jul-2013,GPE,,-35.00000000,18.35552979,,166680,107763,0,,,1.384872,4.154615,
"Cow shark 1",117484,Mk10,16:21:00 10-Jul-2013,GPE,,-36.50000000,17.98213005,,166680,17865,0,,,1.815880,5.447641,
"Cow shark 1",117484,Mk10,05:40:00 11-Jul-2013,GPE,,-36.50000000,17.92255974,,166680,17865,0,,,1.775985,5.327954,
"Cow shark 1",117484,Mk10,16:19:00 11-Jul-2013,GPE,,-35.00000000,18.49538994,,138900,18205,0,55560,180,1.293537,3.233843,
"Cow shark 1",117484,Mk10,05:40:00 12-Jul-2013,GPE,,-35.00000000,18.48348045,,250020,128171,0,55560,180,2.574146,11.583660,
"Cow shark 1",117484,Mk10,16:22:00 12-Jul-2013,GPE,,-34.50000000,18.67873001,,250020,94979,0,55560,180,2.617143,11.777140,
"Cow shark 1",117484,Mk10,05:45:00 13-Jul-2013,GPE,,-34.00000000,18.34675026,,166680,18425,0,,,1.454441,4.363322,
"Cow shark 1",117484,Mk10,16:12:00 13-Jul-2013,GPE,,-34.50000000,18.14155006,,166680,18315,0,,,1.415716,4.247148,
"Cow shark 1",117484,Mk10,06:14:00 14-Jul-2013,GPE,,-34.50000000,18.15354919,,194460,18315,0,55560,180,1.560760,5.462662,
"Cow shark 1",117484,Mk10,16:16:00 14-Jul-2013,GPE,,-36.50000000,17.92394066,,277800,39574,0,,,2.837754,14.188770,
"Cow shark 1",117484,Mk10,06:12:00 15-Jul-2013,GPE,,-36.00000000,17.98945999,,222240,40520,0,,,2.253110,9.012441,
"Cow shark 1",117484,Mk10,16:11:00 15-Jul-2013,GPE,,-33.50000000,18.80648994,,166680,18828,0,,,1.359776,4.079328,
"Cow shark 1",117484,Mk10,05:47:00 16-Jul-2013,GPE,,-33.00000000,18.63195992,,194460,39202,0,55560,180,1.403412,4.911942,
"Cow shark 1",117484,Mk10,16:05:00 16-Jul-2013,GPE,,-31.50000000,19.03845978,,305580,159018,0,55560,180,2.358742,12.973080,
"Cow shark 1",117484,Mk10,05:46:00 17-Jul-2013,GPE,,-31.50000000,19.28405952,,166680,41564,0,,,1.212574,3.637721,
"Cow shark 1",117484,Mk10,16:13:00 17-Jul-2013,GPE,,-34.50000000,18.34383965,,166680,21189,0,,,1.312496,3.937487,
"Cow shark 1",117484,Mk10,06:02:00 18-Jul-2013,GPE,,-34.00000000,18.05987930,,166680,18425,0,,,1.336644,4.009932,
"Cow shark 1",117484,Mk10,16:17:00 18-Jul-2013,GPE,,-34.50000000,18.35059929,,250020,56945,0,55560,180,2.586377,11.638700,
"Cow shark 1",117484,Mk10,06:00:00 19-Jul-2013,GPE,,-34.50000000,18.14290047,,250020,18315,0,55560,180,2.717587,12.229140,
"Cow shark 1",117484,Mk10,16:18:00 19-Jul-2013,GPE,,-34.00000000,17.86120033,,277800,101860,0,,,2.339742,11.698710,
"Cow shark 1",117484,Mk10,05:57:00 20-Jul-2013,GPE,,-34.00000000,18.24419022,,166680,49669,0,,,1.333171,3.999515,
"Cow shark 1",117484,Mk10,16:14:00 20-Jul-2013,GPE,,-34.00000000,18.53520966,,166680,33824,0,,,1.244620,3.733861,
"Cow shark 1",117484,Mk10,05:55:00 21-Jul-2013,GPE,,-32.50000000,17.69066048,,222240,79063,0,,,1.977187,7.908746,
"Cow shark 1",117484,Mk10,16:24:00 21-Jul-2013,GPE,,-31.50000000,18.10679054,,250020,40075,0,55560,180,2.074505,9.335272,
"Cow shark 1",117484,Mk10,06:06:00 22-Jul-2013,GPE,,-33.00000000,19.17444038,,166680,18639,0,,,1.230687,3.692062,
"Cow shark 1",117484,Mk10,16:17:00 22-Jul-2013,GPE,,-33.00000000,19.82959938,,277800,42131,0,,,2.405806,12.029030,
"Cow shark 1",117484,Mk10,06:05:00 23-Jul-2013,GPE,,-30.50000000,18.99106979,,194460,19149,0,55560,180,1.272206,4.452722,
"Cow shark 1",117484,Mk10,16:12:00 23-Jul-2013,GPE,,-35.50000000,16.91765022,,305580,74537,0,55560,180,2.420072,13.310400,
